,presentation_id,user_id,presentation_title,slide_type,slide_title,slide_subheading,slide_description,slide_order,answer_count,participant_answered,total_participant,answer_percentage,last_answer_time
41,6763610,1472007,American English vs. British English at AhaSlides (11/04/2025),Open Ended,My key takeaway from this session is:,,,36.0,6,5,31,16.129032258064516,2025-04-11 09:57:08.609
42,6763610,1472007,American English vs. British English at AhaSlides (11/04/2025),Open Ended,What do you think we should do differently and why?,,,35.0,3,3,31,9.67741935483871,2025-04-11 09:56:50.545
43,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,First recorded AhaSlides birthday party,,,38.0,27,27,35,77.14285714285715,2025-05-16 13:27:15.888
44,3281307,126,Bali Third Day 2022,Brainstorm,Dress code idea for Gala Dinner (Day 2)?,,,5.0,10,6,24,25.0,2022-08-19 09:28:30.550
45,4271407,1918789,About me Cheryl,Open Ended,What is your horoscope sign?,,,8.0,22,22,30,73.33333333333333,2023-04-14 09:19:09.239
46,4271407,1918789,About me Cheryl,Pick Answer,How many countries have I visited?,,,13.0,22,22,30,73.33333333333333,2023-04-14 09:25:04.912
47,2493842,126,AhaSlides' First 2022 Meeting,Brainstorm,Ideas to try in 2022?,,,44.0,18,12,32,37.5,2022-01-12 08:04:59.011
48,3539619,126,Telstra Enterprise - End of Year Meeting,Open Ended,What were your biggest wins personally in 2022?,,,2.0,3,2,21,9.523809523809524,2023-01-19 05:17:20.421
49,3539619,126,Telstra Enterprise - End of Year Meeting,Word Cloud,Who do you think went above and beyond this year?,,,3.0,6,2,21,9.523809523809524,2023-01-19 05:17:40.004
50,3539619,126,Telstra Enterprise - End of Year Meeting,Correct Order,Can you arrange our CEOs in by the year appointed?,,,9.0,2,2,21,9.523809523809524,2023-01-19 05:20:53.230
51,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Pick Answer,Another insurance customer uses Pick Answer throughout. What are they most likely to use AhaSlides for?,,,45.0,24,24,39,61.53846153846154,2025-08-29 04:23:48.300
52,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Short Answer,"In the same topic, but in another presentation, they use this open-ended slide, there's a name for this technique, what is it?",,,43.0,24,24,39,61.53846153846154,2025-08-29 04:21:44.754
53,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Pick Answer,An insurance customer uses one word cloud slide (image). What are they most likely to use AhaSlides for?,,,42.0,24,24,39,61.53846153846154,2025-08-29 04:20:18.698
54,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Scales,Who remembers AhaSlides' positioning statement?,,,63.0,12,12,39,30.76923076923077,2025-08-29 04:48:48.085
55,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Open Ended,Presentations and events were ruined. What did they say?,,,55.0,6,1,39,2.564102564102564,2025-08-28 15:52:56.750
56,4711804,126,Product demo - CEO section 23/08/2023,Short Answer,Cô ấy vừa đùa một câu khiến bạn cảm thấy tổn thương. Bạn sẽ làm gì?,,,14.0,21,21,30,70.0,2023-08-23 08:52:14.220
57,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Match Pairs,Match the following scenario with NRR,,,25.0,26,26,39,66.66666666666666,2025-08-29 04:08:48.022
58,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Pick Answer,Why revenue needs to be increased YoY?,,,16.0,27,27,39,69.23076923076923,2025-08-29 04:02:57.036
59,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Pick Answer,Why is Total Hosted Events our most important metric?,,,19.0,26,26,39,66.66666666666666,2025-08-29 04:05:13.645
60,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Pick Answer,"If on average, each one of our engineer makes 1 mistake per quarter, what will be our incident frequency?",,"Assuming each mistake will cause one incident, given our ""fragile"" & full of ""traps"" code base",58.0,27,27,39,69.23076923076923,2025-08-29 04:38:55.819
61,7369720,126,Boost your values and live a successful life: 2 small changes you can start today - presurvey,Open Ended,Name the things you possess that you consider of significant value,,"If there are more than one, please submit in separate posts. Pictures are OK!",1.0,12,10,22,45.45454545454545,2025-09-26 09:31:38.828
62,4711804,126,Product demo - CEO section 23/08/2023,Short Answer,"Bạn đang ăn tối với cô ấy, và waiter lỡ làm đổ rượu đỏ vào áo sơ mi của bạn. Bạn sẽ làm gì?",,,9.0,21,21,30,70.0,2023-08-23 08:44:57.215
63,7810573,1472007,Impact Meeting Nov 2025 (28/11/2025) ver chuẩn,Pick Answer,"You leave the company on December 26, 2025. At that time, you still have 5 Paid Leave days and 3 Emergency Leave days. How many days will be paid out to you?",,,54.0,24,24,35,68.57142857142857,2025-11-28 04:33:44.414
64,7810573,1472007,Impact Meeting Nov 2025 (28/11/2025) ver chuẩn,Poll,When was your last vacation / long rest?,,,60.0,22,22,35,62.857142857142854,2025-11-28 04:43:52.581
65,7810573,1472007,Impact Meeting Nov 2025 (28/11/2025) ver chuẩn,Short Answer,What's our QA engineer OKR for Q4 2025?,,,36.0,27,27,35,77.14285714285715,2025-11-28 04:20:51.666
66,7810573,1472007,Impact Meeting Nov 2025 (28/11/2025) ver chuẩn,Pick Answer,How much of that are automated now?,,,40.0,27,27,35,77.14285714285715,2025-11-28 04:24:45.554
67,5183110,1472007,Impact Meeting 12/2023,Word Cloud,Describe your 2023 in 3 words?,,,95.0,47,19,36,52.77777777777778,2023-12-29 03:18:47.174
68,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,Which slide type was used in our first organic event?,,,15.0,30,30,35,85.71428571428571,2025-05-16 13:06:51.841
69,5183110,1472007,Impact Meeting 12/2023,Open Ended,"Send your love, feedback, wishes for the Data team in 2024",,,79.0,19,17,36,47.22222222222222,2023-12-29 03:06:07.063
70,5183110,1472007,Impact Meeting 12/2023,Pick Answer,"We moved 15,000 Jira issues to DONE in 2023. Which quarter did we move the most?",,,16.0,29,29,36,80.55555555555556,2023-12-29 02:26:31.908
71,4474647,126,Product training: Learning vs Improvement,Pick Answer,"True or false: If a user reaches the bottom of the test funnel (BOFU), she must be rewarded with value",,,53.0,16,16,21,76.19047619047619,2023-06-13 10:36:57.219
72,4474647,126,Product training: Learning vs Improvement,Pick Answer,True or false: The funnel should be as frictionless as possible,,,51.0,15,15,21,71.42857142857143,2023-06-13 10:35:20.660
73,4382952,1918789,Edu Health Equipment Budget Claim QnA Final,Brainstorm,What are the things you think should be included in Edu budget?,,,29.0,4,4,29,13.793103448275861,2023-05-09 09:57:32.865
74,4382952,1918789,Edu Health Equipment Budget Claim QnA Final,Poll,What do you think is the objective,,,15.0,48,21,29,72.41379310344827,2023-05-09 09:22:11.165
75,5218652,1472007,Hồng Ngọc - Health checkup - 2024 Survey,Scales,II. During the health checkup at Hồng Ngọc Phúc Trường Minh,,"II. Trong quá trình khám tổng quát
1. Tôi được đón tiếp nhiệt tình tại bệnh viện
2. Tôi được hướng dẫn chi tiết quy trình khám bệnh
3. Các bước khám bệnh được thực hiện nhanh chóng, chuyên nghiệp
4. Thiết bị của bệnh viện hiện đại và tin cậy",5.0,384,24,29,82.75862068965517,2024-01-18 01:41:37.596
76,4392853,126,AhaSlides Birthday 12/03/2023 - CEO section,Poll,✊ COURAGE AWARD ✊,,You can vote up to 2,67.0,22,22,37,59.45945945945946,2023-05-12 11:24:31.180
77,4392853,126,AhaSlides Birthday 12/03/2023 - CEO section,Pick Answer,Why is AhaSlides' birthday the 13th of May?,,,16.0,26,26,37,70.27027027027027,2023-05-12 11:00:40.327
78,4737126,1472007,Impact Meeting 31/08/2023,Open Ended,"How can Duke see his impact after hosting this ""Impact Meeting""?",,,34.0,20,13,30,43.333333333333336,2023-08-31 02:53:53.400
79,4737126,1472007,Impact Meeting 31/08/2023,Open Ended,Old lesson check: What is an impactful output?,,,8.0,9,9,30,30.0,2023-08-31 02:27:01.585
80,6763610,1472007,American English vs. British English at AhaSlides (11/04/2025),Match Pairs,Organise and Organize,,,3.0,15,15,31,48.38709677419355,2025-04-11 09:26:56.322
81,2738234,126,Impact Meeting 09/03/2022,Scales,Impact of this Impact Meeting,,,3.0,108,12,24,50.0,2022-03-10 03:31:45.574
82,3539619,126,Telstra Enterprise - End of Year Meeting,Scales,How do you rate the importance of H2 goals?,,,11.0,18,2,21,9.523809523809524,2023-01-19 05:21:38.312
83,4711804,126,Product demo - CEO section 23/08/2023,Pick Answer,"Sau một ngày dài làm việc, anh ấy trở về và hỏi bạn: ""Ngày hôm nay của em thế nào?"" Bạn sẽ...",,,31.0,20,20,30,66.66666666666666,2023-08-23 09:19:32.390
84,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,Where is the first paying user based?,,,6.0,31,31,35,88.57142857142857,2025-05-16 13:02:24.360
85,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,Biggest total audience is 280K. Where is this user based?,,Total audience = No. of audience of all presentations,30.0,31,31,35,88.57142857142857,2025-05-16 13:22:02.250
86,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Word Cloud,What impact do you think the new brand has had?    (All Teams),,,79.0,29,17,39,43.58974358974359,2025-08-29 04:59:58.361
87,4711804,126,Product demo - CEO section 23/08/2023,Short Answer,What's wrong with this code snippet?,,,16.0,22,22,30,73.33333333333333,2023-08-23 08:57:55.659
88,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Pick Answer,What is it? ,,,64.0,27,27,39,69.23076923076923,2025-08-29 04:49:29.580
89,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Short Answer,What is the one common characteristic shared by all these companies?,,,40.0,23,23,39,58.97435897435898,2025-08-29 04:17:44.854
90,3281307,126,Bali Third Day 2022,Brainstorm,What do you want to do on Day 3?,,,3.0,15,10,24,41.66666666666667,2022-08-19 09:11:50.388
91,5164094,126,Product Demo 20/12/2023 - CEO section - training,Open Ended,What can a dev use ChatGPT for?,,,13.0,30,16,24,66.66666666666666,2023-12-20 08:47:18.650
92,5183110,1472007,Impact Meeting 12/2023,Open Ended,Which feature that was released in the Q4 that you love or hate the most? And Why?,,,68.0,7,6,36,16.666666666666664,2023-12-29 02:57:13.440
93,7810573,1472007,Impact Meeting Nov 2025 (28/11/2025) ver chuẩn,Pick Answer,You planned a 3-day trip to Singapore using your Paid Leave but oops you forgot to give the required notice. What could this lead to?,,,52.0,19,19,35,54.285714285714285,2025-11-28 04:30:54.730
94,7810573,1472007,Impact Meeting Nov 2025 (28/11/2025) ver chuẩn,Pick Answer,"The most users created per day is 64,000! When was this?",,,13.0,25,25,35,71.42857142857143,2025-11-28 03:58:44.993
95,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,Which slide type came out first?,,,14.0,30,30,35,85.71428571428571,2025-05-16 13:06:21.141
96,5183110,1472007,Impact Meeting 12/2023,Open Ended,"Send your love, feedback, wishes for the SEO team in 2024",,,56.0,8,8,36,22.22222222222222,2023-12-29 02:48:51.281
97,7810573,1472007,Impact Meeting Nov 2025 (28/11/2025) ver chuẩn,Pick Answer,Which Asian countries hosted the most AhaSlides events in 2025?,,,7.0,25,25,35,71.42857142857143,2025-11-28 03:54:41.987
98,4271407,1918789,About me Cheryl,Open Ended, Which year were you born?,,,5.0,23,23,30,76.66666666666667,2023-04-14 09:15:05.468
99,4474647,126,Product training: Learning vs Improvement,Poll,Next: Would you like to have a training session on how to intepreting the feedback correctly?,,"With wrong interpretation, all of our effort in hypothesising and testing goes to waste...",73.0,14,14,21,66.66666666666666,2024-03-12 06:12:40.282
100,4474647,126,Product training: Learning vs Improvement,Scales,Where are you now?,,,72.0,325,13,21,61.904761904761905,2023-06-13 10:50:09.960
101,5183110,1472007,Impact Meeting 12/2023,Short Answer,Who posted the most messages on Slack in 2023?,,This person joined before 2022,23.0,31,31,36,86.11111111111111,2023-12-29 02:31:16.343
102,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,AhaSlides official birth date is...,,,2.0,30,30,35,85.71428571428571,2025-05-16 13:00:32.196
103,4474647,126,Product training: Learning vs Improvement,Scales,Do you believe in secrets?,,,14.0,272,17,21,80.95238095238095,2023-06-13 09:22:27.533
104,5003136,126,Product demo 08/11/2023 - CEO section: the cultural disadvantages for building products in Vietnam,Poll,Do you remember what we discussed in the last session?,,,1.0,13,13,25,52.0,2023-11-08 08:54:35.766
105,5117056,1918789,22 dec presentation,Open Ended,What do you like about Grab? Why do you use?,,,11.0,28,20,32,62.5,2023-12-22 02:22:24.574
106,5217850,126,Product OKR Q1/2024 introduction - Dave's section,Short Answer,Data is gold. There's a huge amount of gold we have not mined. What is it?,,,8.0,19,19,21,90.47619047619048,2024-01-11 08:59:09.780
107,5218652,1472007,Hồng Ngọc - Health checkup - 2024 Survey,Scales,I. Before the health checkup at Hồng Ngọc Phúc Trường Minh,,"I. Trước ngày khám,

1. Tôi được cung cấp đầy đủ thông tin về nội dung khám tổng quát
2. Tôi được lựa chọn lịch khám phù hợp với mình",4.0,96,24,29,82.75862068965517,2024-01-18 01:41:18.051
108,7182146,1918789,Customer Knowledge Assessment Survey,Open Ended,Please describe the challenge you selected in more detail.,,,12.0,14,13,33,39.39393939393939,2025-09-02 14:35:29.351
109,7182146,1918789,Customer Knowledge Assessment Survey,Poll,How do you access customer information? (Select all that apply),,,6.0,69,21,33,63.63636363636363,2025-09-02 14:24:47.681
110,4785073,126,Product demo - CEO section (13/09/2023) - Pride,Pick Answer,(Dating for men) Men should focus on becoming more...,,,2.0,20,20,26,76.92307692307693,2023-09-13 08:47:18.162
111,4392853,126,AhaSlides Birthday 12/03/2023 - CEO section,Poll,✅ EXCELLENCE AWARD ✅,,You can vote up to 2,63.0,53,27,37,72.97297297297297,2023-05-12 11:19:41.469
112,4392853,126,AhaSlides Birthday 12/03/2023 - CEO section,Correct Order,Sort from oldest to youngest,,,37.0,22,22,37,59.45945945945946,2023-05-12 11:08:49.116
113,4392853,126,AhaSlides Birthday 12/03/2023 - CEO section,Pick Answer,Who joined us in 2023?,,,3.0,26,26,37,70.27027027027027,2023-05-12 10:54:47.051
114,5578203,126,Disagreement 10/05/2024,Scales,Let's see where you are...,,,4.0,189,21,34,61.76470588235294,2024-05-10 09:34:35.104
115,4718355,1918789,User Persona,Pick Answer,Select the top 3 purposes that AhaSlides is used for,,,2.0,18,18,22,81.81818181818183,2023-08-31 03:41:54.924
116,4737126,1472007,Impact Meeting 31/08/2023,Poll,"Trung & Alex made a video on ""Anonymous Feedback"" because Quynh Anh requested it. This had an impact on...",,,24.0,21,21,30,70.0,2023-08-31 02:40:24.939
117,4737126,1472007,Impact Meeting 31/08/2023,Poll,For tasks that make an impact to other AhaSliders. What do you do after moving that task to DONE?,,,20.0,20,20,30,66.66666666666666,2023-08-31 02:37:23.328
118,4737126,1472007,Impact Meeting 31/08/2023,Poll,"Trang interviewed 500 customers to see how they navigate the ""Share"" function. This had an impact on...",,,15.0,16,16,30,53.333333333333336,2023-08-31 02:31:26.658
119,5580159,1472007,AhaSlides Birthday 2024 - Award section,Poll,🌻 SUNSHINE AWARD 🌻,,You can vote up to 3,71.0,66,25,35,71.42857142857143,2024-05-11 13:16:25.761
120,5695604,126,Integrations,Pick Answer,AhaSlides app on MS Teams ,,,7.0,20,20,24,83.33333333333334,2024-06-21 09:12:05.910
121,5695604,126,Integrations,Pick Answer,AhaSlides PowerPoint add-on,,,3.0,17,17,24,70.83333333333334,2024-06-21 09:09:09.036
122,6154447,1472007,GDPR Crash Course 1,Pick Answer,Grindr was fined €6.3 million for sharing user data with third parties for advertising without valid consent. Which lawful basis for processing did they fail to meet?,,,30.0,15,15,23,65.21739130434783,2024-11-19 16:14:54.710
123,6154447,1472007,GDPR Crash Course 1,Pick Answer,Amazon was fined €746 million for failing to meet GDPR requirements around user consent for targeted advertising. Which GDPR principle did they violate?,,,26.0,16,16,23,69.56521739130434,2024-11-19 16:10:33.529
124,6154447,1472007,GDPR Crash Course 1,Open Ended,How did we get consent from AhaSlides users?,,,15.0,8,7,23,30.434782608695656,2024-11-15 09:25:10.861
125,6154447,1472007,GDPR Crash Course 1,Scales,How confident are you in your understanding of GDPR so far?,,,41.0,17,17,23,73.91304347826086,2024-11-19 16:26:10.646
126,6400297,1918789,Growth Q1.2025,Open Ended,Do you have any recommendation for the template library?,,,5.0,6,5,28,17.857142857142858,2025-01-15 04:25:58.956
127,5156035,1918789,Snowflakes,Short Answer,How many snowflakes are there in the main entrance doors,,,1.0,17,17,23,73.91304347826086,2023-12-18 15:25:12.179
128,6005326,1472007,Impact Meeting Sep 2024,Match Pairs,Choose the correct answer?,,,8.794871794871796,27,27,39,69.23076923076923,2024-10-04 02:55:02.621
129,6005326,1472007,Impact Meeting Sep 2024,Pick Answer,Which position is Chloe Pham a candidate for?,,,8.785714285714286,30,30,39,76.92307692307693,2024-10-04 02:51:21.250
130,6154447,1472007,GDPR Crash Course 1,Pick Answer,"A user requests AhaSlides to delete all data related to their account, including saved presentations and responses. However, some financial records related to their subscription must be retained for legal compliance. How should AhaSlides respond?",,,35.0,17,17,23,73.91304347826086,2024-11-19 16:21:56.878
131,6801653,1918789,30/4 - Sài Gòn xưa và nay,Open Ended,One thing I’d suggest for the presenter after this session is...,,,45.0,4,3,34,8.823529411764707,2025-04-25 08:48:50.784
132,6801653,1918789,30/4 - Sài Gòn xưa và nay,Pick Answer,Chủ tịch Hồ Chí Minh bắt đầu hành trình tìm đường cứu nước từ đâu vào năm 1911?,,,25.0,23,23,34,67.64705882352942,2025-04-25 08:26:29.196
133,6801653,1918789,30/4 - Sài Gòn xưa và nay,Pick Answer,"3. Hiệp định hòa bình nào, được ký kết vào năm 1973, đáng lẽ ra sẽ chấm dứt sự can thiệp của Mỹ ở Việt Nam?",,,10.0,25,25,34,73.52941176470588,2025-04-25 08:16:27.927
134,6801653,1918789,30/4 - Sài Gòn xưa và nay,Pick Answer,1. Chiến dịch nào dẫn đến sự kiện 30/4?,,,6.0,21,21,34,61.76470588235294,2025-04-25 08:14:21.122
135,8049063,1472007,Xmas 2025,Short Answer,Whose message is this?,,,19.0,24,24,33,72.72727272727273,2025-12-24 04:22:33.447
136,5822909,1472007,Presentation test,Brainstorm,,,,6.0,4,2,25,8.0,2024-10-30 04:46:49.145
137,6279766,1472007,GDPR Crash Course 2,Categorise,Which data is protected under GDPR?,,,38.0,15,15,29,51.724137931034484,2024-12-11 16:05:50.798
138,6005326,1472007,Impact Meeting Sep 2024,Open Ended,Please share your appreciation for the People team,,,18.75,2,2,39,5.128205128205128,2024-10-04 03:23:54.884
139,6154447,1472007,GDPR Crash Course 1,Open Ended,A user requests that all their data be deleted. What are the steps?,,,21.0,11,11,23,47.82608695652174,2024-11-19 15:54:27.884
140,6763610,1472007,American English vs. British English at AhaSlides (11/04/2025),Scales,Rate from 0 to 10 (strongly disagree to strongly agree),,,37.0,40,10,31,32.25806451612903,2025-04-11 09:58:24.257
141,4711804,126,Product demo - CEO section 23/08/2023,Short Answer,Điểm chung giữa Dating Advice for Ladies và Long-term Product OKR là...,,,35.0,18,18,30,60.0,2023-08-23 09:25:21.297
142,6877258,1472007,AhaSlides 6th Birthday - The Game,Pick Answer,No. of presentations created each day?,,,20.0,31,31,35,88.57142857142857,2025-05-16 13:16:57.872
143,6994807,126,Questions for Varun @ Stripe,Pick Answer,Stripe is headquartered in which city?,,,3.0,18,18,32,56.25,2025-06-18 09:13:02.976
144,6994807,126,Questions for Varun @ Stripe,Pick Answer,Stripe Checkout supports how many currencies?,,,5.0,18,18,32,56.25,2025-06-18 09:15:03.536
145,6994807,126,Questions for Varun @ Stripe,Word Cloud,One word to describe Stripe?,,,8.0,22,17,32,53.125,2025-06-18 09:17:16.929
146,7222312,1472007,Impact Meeting Aug 2025 (29/08/2025),Poll,Which brand spice have you found easiest to apply into your daily work? ,,,69.0,22,22,39,56.41025641025641,2025-08-29 04:51:43.939
